# bond angle distribution
# angle unit: degree
# type mapping: 1=C
# active pair cutoffs: C-C=1.900000
# skipped pair cutoffs: C-H=1.600000, H-H=0.900000
# number of bins: 180
# Bond angle distribution (180 data points):
# Angle C-C-C
0.5 0.0 
1.5 0.0 
2.5 0.0 
3.5 0.0 
4.5 0.0 
5.5 0.0 
6.5 0.0 
7.5 0.0 
8.5 0.0 
9.5 0.0 
10.5 0.0 
11.5 0.0 
12.5 0.0 
13.5 0.0 
14.5 0.0 
15.5 0.0 
16.5 0.0 
17.5 0.0 
18.5 0.0 
19.5 0.0 
20.5 0.0 
21.5 0.0 
22.5 0.0 
23.5 0.0 
24.5 0.0 
25.5 0.0 
26.5 0.0 
27.5 0.0 
28.5 0.0 
29.5 0.0 
30.5 0.0 
31.5 0.0 
32.5 0.0 
33.5 0.0 
34.5 0.0 
35.5 0.0 
36.5 0.0 
37.5 0.0 
38.5 0.0 
39.5 0.0 
40.5 0.0 
41.5 0.0 
42.5 0.0 
43.5 0.0 
44.5 0.0 
45.5 0.0 
46.5 0.0 
47.5 0.0 
48.5 0.0 
49.5 1.0 
50.5 0.0 
51.5 1.0 
52.5 1.0 
53.5 1.0 
54.5 2.0 
55.5 2.0 
56.5 6.0 
57.5 2.0 
58.5 3.0 
59.5 4.0 
60.5 3.0 
61.5 0.0 
62.5 1.0 
63.5 4.0 
64.5 3.0 
65.5 1.0 
66.5 1.0 
67.5 1.0 
68.5 0.0 
69.5 0.0 
70.5 0.0 
71.5 0.0 
72.5 1.0 
73.5 0.0 
74.5 0.0 
75.5 0.0 
76.5 0.0 
77.5 0.0 
78.5 1.0 
79.5 0.0 
80.5 0.0 
81.5 0.0 
82.5 0.0 
83.5 0.0 
84.5 0.0 
85.5 0.0 
86.5 1.0 
87.5 0.0 
88.5 1.0 
89.5 2.0 
90.5 0.0 
91.5 5.0 
92.5 1.0 
93.5 1.0 
94.5 2.0 
95.5 5.0 
96.5 2.0 
97.5 7.0 
98.5 9.0 
99.5 17.0 
100.5 34.0 
101.5 52.0 
102.5 98.0 
103.5 124.0 
104.5 156.0 
105.5 198.0 
106.5 237.0 
107.5 287.0 
108.5 314.0 
109.5 322.0 
110.5 368.0 
111.5 419.0 
112.5 500.0 
113.5 651.0 
114.5 803.0 
115.5 1052.0 
116.5 1321.0 
117.5 1560.0 
118.5 1775.0 
119.5 1913.0 
120.5 1869.0 
121.5 1710.0 
122.5 1503.0 
123.5 1226.0 
124.5 966.0 
125.5 761.0 
126.5 586.0 
127.5 457.0 
128.5 359.0 
129.5 298.0 
130.5 283.0 
131.5 216.0 
132.5 176.0 
133.5 174.0 
134.5 127.0 
135.5 107.0 
136.5 72.0 
137.5 55.0 
138.5 54.0 
139.5 45.0 
140.5 30.0 
141.5 28.0 
142.5 16.0 
143.5 12.0 
144.5 11.0 
145.5 7.0 
146.5 9.0 
147.5 6.0 
148.5 4.0 
149.5 5.0 
150.5 7.0 
151.5 4.0 
152.5 9.0 
153.5 6.0 
154.5 4.0 
155.5 1.0 
156.5 1.0 
157.5 5.0 
158.5 4.0 
159.5 5.0 
160.5 3.0 
161.5 4.0 
162.5 2.0 
163.5 2.0 
164.5 0.0 
165.5 3.0 
166.5 2.0 
167.5 0.0 
168.5 2.0 
169.5 0.0 
170.5 1.0 
171.5 4.0 
172.5 1.0 
173.5 2.0 
174.5 0.0 
175.5 0.0 
176.5 1.0 
177.5 1.0 
178.5 0.0 
179.5 0.0 
