# Radial distribution function (100 data points):
# "Pair separation distance" C-C
0.025 0.0 
0.075 0.0 
0.125 0.0 
0.175 0.0 
0.225 0.0 
0.275 0.0 
0.325 0.0 
0.375 0.0 
0.425 0.0 
0.475 0.0 
0.525 0.0 
0.575 0.0 
0.625 0.0 
0.675 0.0 
0.725 0.0 
0.775 0.0 
0.825 0.0 
0.875 0.0 
0.925 0.0 
0.975 0.0 
1.025 0.0 
1.075 0.0 
1.125 0.0 
1.175 0.0 
1.225 0.0264129889 
1.275 0.1828669647 
1.325 0.7901958985 
1.375 7.7186479307 
1.425 18.0818567895 
1.475 9.2825773948 
1.525 1.8435922437 
1.575 0.2583288506 
1.625 0.0600439168 
1.675 0.0188376569 
1.725 0.0044403802 
1.775 0.0020968788 
1.825 0.0019835624 
1.875 0.0 
1.925 0.0 
1.975 0.0 
2.025 0.0032222308 
2.075 0.0015344105 
2.125 0.0043891671 
2.175 0.0195519084 
2.225 0.158806188 
2.275 0.6203756625 
2.325 1.4397311612 
2.375 2.9398773981 
2.425 5.3196110308 
2.475 6.202645446 
2.525 4.4268321367 
2.575 2.2050176386 
2.625 1.223425968 
2.675 0.7755643452 
2.725 0.8790437955 
2.775 1.3684272982 
2.825 1.7773893313 
2.875 1.6121966706 
2.925 1.0532969347 
2.975 0.5874749264 
3.025 0.410818873 
3.075 0.3933755399 
3.125 0.4180978486 
3.175 0.4338706983 
3.225 0.4109934584 
3.275 0.350493516 
3.325 0.3077616572 
3.375 0.2267879764 
3.425 0.21908846 
3.475 0.2363553311 
3.525 0.3259370393 
3.575 0.506083626 
3.625 1.0316994886 
3.675 1.6559074227 
3.725 2.2854984367 
3.775 2.2244300258 
3.825 1.7254673291 
3.875 1.0511518923 
3.925 0.6227018947 
3.975 0.3997391329 
4.025 0.3959867384 
4.075 0.4746555189 
4.125 0.750546142 
4.175 1.1318019008 
4.225 1.4216234478 
4.275 1.432306782 
4.325 1.2065340074 
4.375 0.9091879997 
4.425 0.7146502515 
4.475 0.678314778 
4.525 0.6430792236 
4.575 0.6685566333 
4.625 0.7246012348 
4.675 0.7599703856 
4.725 0.8300876514 
4.775 0.9452180418 
4.825 1.1101945482 
4.875 1.3474688634 
4.925 1.444183203 
4.975 1.398216537 
