# Radial distribution function (100 data points):
# "Pair separation distance" C-C
0.025 0.0 
0.075 0.0 
0.125 0.0 
0.175 0.0 
0.225 0.0 
0.275 0.0 
0.325 0.0 
0.375 0.0 
0.425 0.0 
0.475 0.0 
0.525 0.0 
0.575 0.0 
0.625 0.0 
0.675 0.0 
0.725 0.0 
0.775 0.0 
0.825 0.0 
0.875 0.0 
0.925 0.0 
0.975 0.0 
1.025 0.0 
1.075 0.0 
1.125 0.0 
1.175 0.0 
1.225 0.0 
1.275 0.0031386222 
1.325 0.0813747758 
1.375 0.5370502092 
1.425 1.6118975718 
1.475 3.3173583636 
1.525 4.0216006092 
1.575 3.313698684 
1.625 2.003792869 
1.675 0.8984215117 
1.725 0.2812226572 
1.775 0.0842156831 
1.825 0.0298742336 
1.875 0.0094340927 
1.925 0.0068849245 
1.975 0.007194827 
2.025 0.0174209157 
2.075 0.0337755716 
2.125 0.0700597927 
2.175 0.1429200941 
2.225 0.2772611608 
2.275 0.5920355587 
2.325 0.9864355198 
2.375 1.5288275493 
2.425 1.9944387348 
2.475 2.1820680459 
2.525 2.2309661641 
2.575 2.0320440738 
2.625 1.7817178896 
2.675 1.4950293317 
2.725 1.2534144578 
2.775 1.0900420243 
2.825 0.9929749163 
2.875 0.9232404769 
2.925 0.9405555292 
2.975 0.9118010688 
3.025 0.9123000892 
3.075 0.8707314367 
3.125 0.8574609215 
3.175 0.8357294418 
3.225 0.8377368872 
3.275 0.8221058855 
3.325 0.8176449091 
3.375 0.8292127759 
3.425 0.8628164246 
3.475 0.8550690003 
3.525 0.8819068417 
3.575 0.9434515745 
3.625 1.0595369688 
3.675 1.1319714839 
3.725 1.2053098039 
3.775 1.2269462531 
3.825 1.1863599463 
3.875 1.1527137346 
3.925 1.0410563783 
3.975 0.9299340591 
4.025 0.8490182886 
4.075 0.8295407415 
4.125 0.8142010804 
4.175 0.8420953932 
4.225 0.8417209312 
4.275 0.8704510165 
4.325 0.9071831084 
4.375 0.9396188845 
4.425 0.9590289367 
4.475 1.004861741 
4.525 1.0200353487 
4.575 1.0238259418 
4.625 1.0702741388 
4.675 1.0892959453 
4.725 1.0961918266 
4.775 1.0887976831 
4.825 1.1148991659 
4.875 1.0932204937 
4.925 1.0954345673 
4.975 1.0923911585 
