# bond angle distribution
# angle unit: degree
# type mapping: 1=C, 2=H
# active pair cutoffs: C-C=1.900000, C-H=1.600000, H-H=0.900000
# skipped pair cutoffs: None
# number of bins: 180
# Bond angle distribution (180 data points):
# Angle C-C-C C-C-H H-C-H C-H-C C-H-H H-H-H
0.5 0.0 0.0 0.0 0.0 0.0 0.0 
1.5 0.0 0.0 0.0 0.0 0.0 0.0 
2.5 0.0 0.0 0.0 0.0 0.0 0.0 
3.5 0.0 0.0 0.0 0.0 0.0 0.0 
4.5 0.0 0.0 0.0 0.0 0.0 0.0 
5.5 0.0 0.0 0.0 0.0 0.0 0.0 
6.5 0.0 0.0 0.0 0.0 0.0 0.0 
7.5 0.0 0.0 0.0 0.0 0.0 0.0 
8.5 0.0 0.0 0.0 0.0 0.0 0.0 
9.5 0.0 0.0 0.0 0.0 0.0 0.0 
10.5 0.0 0.0 0.0 0.0 0.0 0.0 
11.5 0.0 0.0 0.0 0.0 0.0 0.0 
12.5 0.0 0.0 0.0 0.0 0.0 0.0 
13.5 0.0 0.0 0.0 0.0 0.0 0.0 
14.5 0.0 0.0 0.0 0.0 0.0 0.0 
15.5 0.0 0.0 0.0 0.0 0.0 0.0 
16.5 0.0 0.0 0.0 0.0 0.0 0.0 
17.5 0.0 0.0 0.0 0.0 0.0 0.0 
18.5 0.0 0.0 0.0 0.0 0.0 0.0 
19.5 0.0 0.0 0.0 0.0 0.0 0.0 
20.5 0.0 0.0 0.0 0.0 0.0 0.0 
21.5 0.0 0.0 0.0 0.0 0.0 0.0 
22.5 0.0 0.0 0.0 0.0 0.0 0.0 
23.5 0.0 0.0 0.0 0.0 0.0 0.0 
24.5 0.0 0.0 0.0 0.0 0.0 0.0 
25.5 0.0 0.0 0.0 0.0 0.0 0.0 
26.5 0.0 0.0 0.0 0.0 0.0 0.0 
27.5 0.0 0.0 0.0 0.0 0.0 0.0 
28.5 0.0 0.0 0.0 0.0 0.0 0.0 
29.5 0.0 0.0 0.0 0.0 0.0 0.0 
30.5 0.0 0.0 0.0 0.0 0.0 0.0 
31.5 0.0 0.0 0.0 0.0 0.0 0.0 
32.5 0.0 0.0 0.0 0.0 0.0 0.0 
33.5 0.0 0.0 0.0 0.0 0.0 0.0 
34.5 0.0 0.0 0.0 0.0 0.0 0.0 
35.5 0.0 0.0 0.0 0.0 0.0 0.0 
36.5 0.0 0.0 0.0 0.0 0.0 0.0 
37.5 0.0 0.0 0.0 0.0 0.0 0.0 
38.5 0.0 0.0 0.0 0.0 0.0 0.0 
39.5 0.0 0.0 0.0 0.0 0.0 0.0 
40.5 0.0 0.0 0.0 0.0 0.0 0.0 
41.5 0.0 0.0 0.0 0.0 0.0 0.0 
42.5 0.0 0.0 0.0 0.0 0.0 0.0 
43.5 0.0 0.0 0.0 0.0 0.0 0.0 
44.5 0.0 0.0 0.0 0.0 0.0 0.0 
45.5 0.0 0.0 0.0 0.0 0.0 0.0 
46.5 0.0 0.0 0.0 0.0 0.0 0.0 
47.5 0.0 0.0 0.0 0.0 0.0 0.0 
48.5 2.0 0.0 0.0 0.0 0.0 0.0 
49.5 3.0 0.0 0.0 0.0 0.0 0.0 
50.5 1.0 0.0 0.0 0.0 0.0 0.0 
51.5 6.0 0.0 0.0 0.0 0.0 0.0 
52.5 4.0 0.0 0.0 0.0 0.0 0.0 
53.5 10.0 0.0 0.0 0.0 0.0 0.0 
54.5 15.0 0.0 0.0 0.0 0.0 0.0 
55.5 13.0 0.0 0.0 0.0 0.0 0.0 
56.5 12.0 0.0 0.0 0.0 0.0 0.0 
57.5 19.0 0.0 0.0 0.0 0.0 0.0 
58.5 17.0 0.0 0.0 0.0 0.0 0.0 
59.5 23.0 0.0 0.0 0.0 0.0 0.0 
60.5 18.0 0.0 0.0 0.0 0.0 0.0 
61.5 18.0 0.0 0.0 0.0 0.0 0.0 
62.5 16.0 0.0 0.0 0.0 0.0 0.0 
63.5 11.0 0.0 0.0 0.0 0.0 0.0 
64.5 5.0 0.0 0.0 0.0 0.0 0.0 
65.5 6.0 0.0 0.0 0.0 0.0 0.0 
66.5 2.0 0.0 0.0 0.0 0.0 0.0 
67.5 3.0 0.0 0.0 0.0 0.0 0.0 
68.5 3.0 0.0 0.0 0.0 0.0 0.0 
69.5 2.0 0.0 0.0 0.0 0.0 0.0 
70.5 4.0 1.0 0.0 0.0 0.0 0.0 
71.5 3.0 0.0 0.0 0.0 0.0 0.0 
72.5 0.0 0.0 0.0 0.0 0.0 0.0 
73.5 3.0 0.0 0.0 0.0 0.0 0.0 
74.5 3.0 0.0 0.0 0.0 0.0 0.0 
75.5 4.0 0.0 0.0 0.0 0.0 0.0 
76.5 9.0 0.0 0.0 0.0 0.0 0.0 
77.5 10.0 0.0 0.0 0.0 0.0 0.0 
78.5 13.0 0.0 0.0 0.0 0.0 0.0 
79.5 21.0 0.0 0.0 0.0 0.0 0.0 
80.5 22.0 1.0 0.0 0.0 0.0 0.0 
81.5 30.0 0.0 0.0 0.0 0.0 0.0 
82.5 52.0 0.0 0.0 0.0 0.0 0.0 
83.5 54.0 1.0 0.0 0.0 0.0 0.0 
84.5 65.0 4.0 0.0 0.0 0.0 0.0 
85.5 81.0 1.0 0.0 0.0 0.0 0.0 
86.5 94.0 5.0 0.0 0.0 0.0 0.0 
87.5 85.0 2.0 0.0 0.0 0.0 0.0 
88.5 122.0 2.0 0.0 0.0 0.0 0.0 
89.5 132.0 2.0 0.0 0.0 0.0 0.0 
90.5 188.0 6.0 0.0 0.0 0.0 0.0 
91.5 186.0 7.0 0.0 0.0 0.0 0.0 
92.5 235.0 5.0 0.0 0.0 0.0 0.0 
93.5 298.0 9.0 0.0 0.0 0.0 0.0 
94.5 360.0 12.0 0.0 0.0 0.0 0.0 
95.5 404.0 10.0 0.0 0.0 0.0 0.0 
96.5 549.0 21.0 0.0 0.0 0.0 0.0 
97.5 676.0 10.0 0.0 0.0 0.0 0.0 
98.5 754.0 16.0 0.0 0.0 0.0 0.0 
99.5 939.0 29.0 0.0 0.0 0.0 0.0 
100.5 1000.0 37.0 0.0 0.0 0.0 0.0 
101.5 1176.0 36.0 1.0 0.0 0.0 0.0 
102.5 1356.0 46.0 1.0 0.0 0.0 0.0 
103.5 1367.0 43.0 0.0 0.0 0.0 0.0 
104.5 1513.0 52.0 1.0 0.0 0.0 0.0 
105.5 1595.0 51.0 0.0 0.0 0.0 0.0 
106.5 1608.0 59.0 1.0 0.0 0.0 0.0 
107.5 1651.0 62.0 0.0 0.0 0.0 0.0 
108.5 1679.0 49.0 0.0 0.0 0.0 0.0 
109.5 1605.0 47.0 0.0 0.0 0.0 0.0 
110.5 1594.0 46.0 0.0 0.0 0.0 0.0 
111.5 1586.0 34.0 0.0 0.0 0.0 0.0 
112.5 1506.0 28.0 1.0 0.0 0.0 0.0 
113.5 1607.0 29.0 0.0 0.0 0.0 0.0 
114.5 1413.0 14.0 0.0 0.0 0.0 0.0 
115.5 1325.0 23.0 0.0 0.0 0.0 0.0 
116.5 1262.0 7.0 0.0 0.0 0.0 0.0 
117.5 1214.0 12.0 0.0 0.0 0.0 0.0 
118.5 1100.0 9.0 0.0 0.0 0.0 0.0 
119.5 1076.0 8.0 0.0 0.0 0.0 0.0 
120.5 876.0 5.0 0.0 0.0 0.0 0.0 
121.5 863.0 6.0 0.0 0.0 0.0 0.0 
122.5 794.0 1.0 0.0 0.0 0.0 0.0 
123.5 682.0 2.0 0.0 0.0 0.0 0.0 
124.5 598.0 3.0 0.0 0.0 0.0 0.0 
125.5 570.0 2.0 0.0 0.0 0.0 0.0 
126.5 459.0 1.0 0.0 0.0 0.0 0.0 
127.5 383.0 0.0 0.0 0.0 0.0 0.0 
128.5 332.0 0.0 0.0 0.0 0.0 0.0 
129.5 277.0 0.0 0.0 0.0 0.0 0.0 
130.5 256.0 0.0 0.0 0.0 0.0 0.0 
131.5 185.0 1.0 0.0 0.0 0.0 0.0 
132.5 171.0 0.0 0.0 0.0 0.0 0.0 
133.5 139.0 1.0 0.0 0.0 0.0 0.0 
134.5 136.0 0.0 0.0 0.0 0.0 0.0 
135.5 109.0 0.0 0.0 1.0 0.0 0.0 
136.5 92.0 0.0 0.0 0.0 0.0 0.0 
137.5 59.0 0.0 0.0 0.0 0.0 0.0 
138.5 45.0 0.0 0.0 0.0 0.0 0.0 
139.5 44.0 0.0 0.0 0.0 0.0 0.0 
140.5 45.0 0.0 0.0 1.0 0.0 0.0 
141.5 29.0 0.0 0.0 3.0 0.0 0.0 
142.5 26.0 0.0 0.0 0.0 0.0 0.0 
143.5 16.0 0.0 0.0 3.0 0.0 0.0 
144.5 16.0 0.0 0.0 3.0 0.0 0.0 
145.5 9.0 0.0 0.0 1.0 0.0 0.0 
146.5 10.0 0.0 0.0 1.0 0.0 0.0 
147.5 11.0 0.0 0.0 2.0 0.0 0.0 
