# Radial distribution function (100 data points):
# "Pair separation distance" C-C C-H H-H
0.025 0.0 0.0 0.0 
0.075 0.0 0.0 0.0 
0.125 0.0 0.0 0.0 
0.175 0.0 0.0 0.0 
0.225 0.0 0.0 0.0 
0.275 0.0 0.0 0.0 
0.325 0.0 0.0 0.0 
0.375 0.0 0.0 0.0 
0.425 0.0 0.0 0.0 
0.475 0.0 0.0 0.0 
0.525 0.0 0.0 0.0 
0.575 0.0 0.0 0.0 
0.625 0.0 0.0 0.0 
0.675 0.0 0.0 0.0 
0.725 0.0 0.0 0.0 
0.775 0.0 0.0 0.0 
0.825 0.0 0.0 0.0 
0.875 0.0 0.0 0.0 
0.925 0.0 0.0 0.0 
0.975 0.0 0.0 0.0 
1.025 0.0 1.1595880245 0.0 
1.075 0.0 4.4805494741 0.0 
1.125 0.0 1.7533684155 0.0 
1.175 0.0 0.4412312912 0.0 
1.225 0.0 0.4929421845 0.0 
1.275 0.0 0.4818102252 0.0 
1.325 0.0550236272 0.3717812646 0.0 
1.375 0.5592842052 0.3222213528 0.0 
1.425 1.5261851271 0.1285749896 0.0 
1.475 3.2581793686 0.0600033033 0.0 
1.525 4.1415303276 0.0935558491 0.0 
1.575 3.5364902897 0.0175421145 0.0 
1.625 1.9567510802 0.0494378747 5.4930971876 
1.675 0.8952492851 0.0310204187 1.0340139583 
1.725 0.3035975593 0.0146241599 3.8997759703 
1.775 0.1035894108 0.124307293 6.4455633384 
1.825 0.0297893808 0.1437206967 2.6131035758 
1.875 0.0044560879 0.2475604407 2.4756044069 
1.925 0.0028184147 0.2231244939 2.348678883 
1.975 0.0093713341 0.5912865569 3.718783377 
2.025 0.0152816379 1.2204085797 3.537416173 
2.075 0.0297145834 1.83947421 3.3690003847 
2.125 0.07459034 2.4092487065 2.569865287 
2.175 0.1523358833 1.8766014607 1.2265369024 
2.225 0.2637074985 1.5207132416 1.7580499903 
2.275 0.5619991889 1.4966465534 1.1210835606 
2.325 0.9916469459 1.2880622775 2.6834630781 
2.375 1.4312878953 1.3501260332 1.0286674538 
2.425 1.9269996656 1.3764283326 1.9733739535 
2.475 2.1977511357 1.3711079945 4.2625119001 
2.525 2.2164177177 1.4675098833 1.8201672971 
2.575 2.0729009461 1.2995009731 0.8750848303 
2.625 1.7889287171 1.2125761268 1.2631001321 
2.675 1.5026467853 1.2528138165 1.2163240937 
2.725 1.263757239 1.195541072 1.5627987869 
2.775 1.0846941479 1.1811038705 1.5069905844 
2.825 1.0266808915 1.0033422777 1.454119243 
2.875 0.9552695265 0.9634828227 0.7019911276 
2.925 0.9195335868 0.910479655 0.678197136 
2.975 0.9000959882 0.8407976291 1.3111853865 
3.025 0.8748675055 0.76091977 0.3170499042 
3.075 0.8822706557 0.7639902392 0.3068233892 
3.125 0.8491843206 0.8867951291 0.891251386 
3.175 0.8526958967 0.7943299159 0.5756013884 
3.225 0.8098918098 0.849390563 0.5578919954 
3.275 0.8281977498 0.8601701105 0.8114812363 
3.325 0.8207182807 1.0155650667 1.3120995694 
3.375 0.8289029887 1.0544672975 0.7641067373 
3.425 0.854070489 1.0201953978 1.2366004822 
3.475 0.8623207178 1.0126718559 0.2402542956 
3.525 0.8893053726 0.8160371448 1.8678961827 
3.575 0.9808516243 0.8580664074 0.9080067803 
3.625 1.048365356 0.8180005147 1.1039143248 
3.675 1.1269468927 0.8120049664 0.4296322574 
3.725 1.162194976 0.9408961917 1.0454402131 
3.775 1.2639028998 0.8703303529 1.0179302373 
3.825 1.2198326036 0.8953172731 0.3965967987 
3.875 1.12404239 1.034661544 0.966070536 
3.925 1.0515196071 1.0197683703 0.7532915016 
3.975 0.9566527815 1.0438515696 0.7344602073 
4.025 0.8766222424 0.9428645189 0.7163263201 
4.075 0.8228503177 0.9880074201 1.0482837349 
4.125 0.8251209129 1.0102373089 1.5345376844 
4.175 0.8249501528 1.016145246 0.8322237887 
4.225 0.8479604299 0.9654198443 0.6501143733 
4.275 0.8742467883 1.0644122524 1.4287412784 
4.325 0.8977020775 1.0678620576 1.5509979051 
4.375 0.9470099647 1.0481407705 1.5157494874 
4.425 0.9697359154 1.1134893968 0.8890134904 
4.475 0.9710051596 1.0192055411 1.1590112763 
4.525 1.0059029857 1.0796964096 1.4169244221 
4.575 1.0466614347 1.0998885558 1.2475106493 
4.625 1.0452712883 1.0864083225 1.0850520075 
4.675 1.0715376495 1.0772324458 0.7964750061 
4.725 1.0850023016 1.0175185969 1.0396103162 
4.775 1.0889674749 1.011590356 0.3817322098 
4.825 1.1009480058 1.0729831488 1.121585173 
4.875 1.1007840056 1.0309435325 0.9766190953 
4.925 1.1025526891 1.0872663699 0.9568900945 
4.975 1.0959049698 1.0303560395 1.1721911712 
