# Radial distribution function (100 data points):
# "Pair separation distance" C-C C-H H-H
0.025 0.0 0.0 0.0 
0.075 0.0 0.0 0.0 
0.125 0.0 0.0 0.0 
0.175 0.0 0.0 0.0 
0.225 0.0 0.0 0.0 
0.275 0.0 0.0 0.0 
0.325 0.0 0.0 0.0 
0.375 0.0 0.0 0.0 
0.425 0.0 0.0 0.0 
0.475 0.0 0.0 0.0 
0.525 0.0 0.0 0.0 
0.575 0.0 0.0 0.0 
0.625 0.0 0.0 0.0 
0.675 0.0 0.0 0.0 
0.725 0.0 0.0 13.9607304944 
0.775 0.0 0.0 12.2180595589 
0.825 0.0 0.0 0.0 
0.875 0.0 0.0 0.0 
0.925 0.0 0.0 0.0 
0.975 0.0 0.0 0.0 
1.025 0.0 1.6766161983 0.0 
1.075 0.0 13.6234887675 0.0 
1.125 0.0 5.915342568 0.0 
1.175 0.0095694615 0.5582185872 0.0 
1.225 0.1232606151 0.1467388275 0.0 
1.275 0.2600774609 0.0 0.0 
1.325 0.8504013002 0.0 0.0 
1.375 8.0226417605 0.0 0.0 
1.425 18.0232973397 0.0 0.0 
1.475 8.6934965918 0.0 0.0 
1.525 1.698718277 0.0 0.0 
1.575 0.2556656666 0.0 0.0 
1.625 0.0500365973 0.0 0.0 
1.675 0.0141282427 0.0 2.6163412361 
1.725 0.0 0.0 4.9337557782 
1.775 0.0 0.0 9.3194614568 
1.825 0.0 0.0 4.4079164083 
1.875 0.0 0.0 4.1759757962 
1.925 0.0 0.0297140351 1.9809356739 
1.975 0.0 0.0846859522 0.0 
2.025 0.0016111154 0.5370384643 0.0 
2.075 0.0046032314 1.5599839679 5.114701534 
2.125 0.0087783342 2.7066530482 1.6256174464 
2.175 0.0265347328 2.6767493614 0.0 
2.225 0.1441266244 1.6681322269 1.4827842016 
2.275 0.5642099647 0.8509954219 1.4183257031 
2.325 1.3590671063 0.5499821923 1.3579807218 
2.375 2.8977118259 0.4294641617 3.9042196522 
2.425 5.3915128483 0.2059687481 1.2482954431 
2.475 6.429137455 0.2516577878 2.3967408358 
2.525 4.0714006238 0.3799559418 6.9082898513 
2.575 2.097407198 0.4317702862 5.5355164899 
2.625 1.1380929656 0.6871384094 2.1306617347 
2.675 0.7727944725 0.6001390766 0.0 
2.725 0.8443446983 0.5190035905 0.9885782675 
2.775 1.361563713 0.800751606 0.9532757215 
2.825 1.7964298319 0.8416453129 0.0 
2.875 1.5714321539 0.7060520868 2.6643474973 
2.925 0.9621759389 0.6563800546 0.8580131433 
2.975 0.5732919231 0.9082098608 2.488246194 
3.025 0.4267029068 0.8062350466 1.6044478539 
3.075 0.3731128567 0.756939316 2.3290440492 
3.125 0.4045671739 0.7103604224 1.5034083014 
3.175 0.4201074284 0.5352382733 0.0 
3.225 0.379867215 0.4975964077 2.117431522 
3.275 0.3338620135 0.6981124513 0.6844239719 
3.325 0.2886386028 0.6473950719 3.3199747275 
3.375 0.2395484252 1.1793748134 1.2889342223 
3.425 0.21908846 1.192126582 3.12894116 
3.475 0.2248658358 0.9848138794 0.6079098021 
3.525 0.3094540896 0.7089440769 1.1815734615 
3.575 0.5376169265 0.3618575467 3.4462623494 
3.625 0.994996729 0.6536107871 2.793208492 
3.675 1.6788993426 0.5462619267 0.5435442057 
3.725 2.336446006 0.5237600584 2.6452528203 
3.775 2.2629101618 0.6413355987 0.5151289949 
3.825 1.6089610295 0.7676771682 1.5052493493 
3.875 0.9803124387 0.799327168 0.488885118 
3.925 0.5678080637 0.8076826687 0.4765089491 
3.975 0.3821773718 0.9965602511 2.3229842682 
4.025 0.3707023123 0.9379706471 3.1718814153 
4.075 0.4877851351 0.9681434166 1.7682984778 
4.125 0.7493813006 1.1065993299 1.294268222 
4.175 1.1355922622 1.1371084067 1.2634537852 
4.225 1.4316166352 0.912957868 2.0562114145 
4.275 1.4803877517 1.0242813097 2.0083947248 
4.325 1.209359614 1.0537157852 2.3546721456 
4.375 0.850853614 1.0988035177 0.3835265332 
4.425 0.6967671243 1.0684887298 1.8745416313 
4.475 0.6258575554 1.0282495419 0.7331547536 
4.525 0.6421112168 1.1132078884 0.7170421181 
4.575 0.7130639446 1.0627041229 1.4029097332 
4.625 0.7474573693 1.0913289414 1.3727408067 
4.675 0.8071284525 1.073148317 1.0076510019 
4.725 0.8197300515 1.1837257061 1.6440634806 
4.775 0.9252241592 1.1397478943 1.287850728 
4.825 1.1760343067 0.9128644674 3.153245138 
4.875 1.3836089402 1.0981023335 1.2355581811 
4.925 1.4948467405 1.0713794666 1.2105982674 
4.975 1.4198384422 0.8897903379 1.7795806758 
