# bond angle distribution
# angle unit: degree
# type mapping: 1=C
# active pair cutoffs: C-C=1.900000
# skipped pair cutoffs: C-H=1.600000, H-H=0.900000
# number of bins: 180
# Bond angle distribution (180 data points):
# Angle C-C-C
0.5 0.0 
1.5 0.0 
2.5 0.0 
3.5 0.0 
4.5 0.0 
5.5 0.0 
6.5 0.0 
7.5 0.0 
8.5 0.0 
9.5 0.0 
10.5 0.0 
11.5 0.0 
12.5 0.0 
13.5 0.0 
14.5 0.0 
15.5 0.0 
16.5 0.0 
17.5 0.0 
18.5 0.0 
19.5 0.0 
20.5 0.0 
21.5 0.0 
22.5 0.0 
23.5 0.0 
24.5 0.0 
25.5 0.0 
26.5 0.0 
27.5 0.0 
28.5 0.0 
29.5 0.0 
30.5 0.0 
31.5 0.0 
32.5 0.0 
33.5 0.0 
34.5 0.0 
35.5 0.0 
36.5 0.0 
37.5 0.0 
38.5 0.0 
39.5 0.0 
40.5 0.0 
41.5 0.0 
42.5 0.0 
43.5 0.0 
44.5 0.0 
45.5 0.0 
46.5 0.0 
47.5 1.0 
48.5 4.0 
49.5 1.0 
50.5 8.0 
51.5 9.0 
52.5 12.0 
53.5 12.0 
54.5 15.0 
55.5 22.0 
56.5 20.0 
57.5 21.0 
58.5 31.0 
59.5 29.0 
60.5 23.0 
61.5 23.0 
62.5 21.0 
63.5 11.0 
64.5 11.0 
65.5 5.0 
66.5 11.0 
67.5 6.0 
68.5 3.0 
69.5 4.0 
70.5 5.0 
71.5 4.0 
72.5 3.0 
73.5 1.0 
74.5 3.0 
75.5 9.0 
76.5 11.0 
77.5 8.0 
78.5 14.0 
79.5 16.0 
80.5 20.0 
81.5 34.0 
82.5 38.0 
83.5 46.0 
84.5 74.0 
85.5 66.0 
86.5 93.0 
87.5 100.0 
88.5 117.0 
89.5 137.0 
90.5 182.0 
91.5 163.0 
92.5 251.0 
93.5 288.0 
94.5 366.0 
95.5 422.0 
96.5 573.0 
97.5 672.0 
98.5 789.0 
99.5 970.0 
100.5 1111.0 
101.5 1244.0 
102.5 1324.0 
103.5 1434.0 
104.5 1521.0 
105.5 1622.0 
106.5 1628.0 
107.5 1635.0 
108.5 1708.0 
109.5 1701.0 
110.5 1693.0 
111.5 1582.0 
112.5 1611.0 
113.5 1488.0 
114.5 1441.0 
115.5 1439.0 
116.5 1306.0 
117.5 1244.0 
118.5 1083.0 
119.5 1034.0 
120.5 945.0 
121.5 906.0 
122.5 793.0 
123.5 732.0 
124.5 579.0 
125.5 516.0 
126.5 463.0 
127.5 396.0 
128.5 321.0 
129.5 306.0 
130.5 261.0 
131.5 219.0 
132.5 169.0 
133.5 160.0 
134.5 119.0 
135.5 93.0 
136.5 78.0 
137.5 61.0 
138.5 52.0 
139.5 23.0 
140.5 38.0 
141.5 33.0 
142.5 26.0 
143.5 24.0 
144.5 13.0 
145.5 12.0 
146.5 17.0 
147.5 6.0 
148.5 7.0 
149.5 4.0 
150.5 3.0 
151.5 4.0 
152.5 5.0 
153.5 2.0 
154.5 2.0 
155.5 1.0 
156.5 2.0 
157.5 2.0 
158.5 2.0 
159.5 1.0 
160.5 0.0 
161.5 0.0 
162.5 0.0 
163.5 0.0 
164.5 0.0 
165.5 0.0 
166.5 0.0 
167.5 0.0 
168.5 0.0 
169.5 0.0 
170.5 0.0 
171.5 0.0 
172.5 0.0 
173.5 0.0 
174.5 0.0 
175.5 0.0 
176.5 0.0 
177.5 0.0 
178.5 0.0 
179.5 0.0 
