# time(fs)    T(K)
       1.000000       338.890000
       2.000000       599.270000
       3.000000       863.490000
       4.000000      1019.610000
       5.000000      1104.120000
       6.000000      1159.720000
       7.000000      1196.390000
       8.000000      1219.080000
       9.000000      1237.190000
      10.000000      1256.490000
      11.000000      1269.660000
      12.000000      1263.040000
      13.000000      1234.110000
      14.000000      1198.360000
      15.000000      1179.930000
      16.000000      1187.890000
      17.000000      1212.610000
      18.000000      1244.470000
      19.000000      1287.670000
      20.000000      1341.420000
      21.000000      1390.570000
      22.000000      1429.600000
      23.000000      1458.670000
      24.000000      1475.600000
      25.000000      1477.370000
      26.000000      1465.850000
      27.000000      1452.090000
      28.000000      1446.370000
      29.000000      1443.740000
      30.000000      1436.330000
      31.000000      1430.020000
      32.000000      1431.090000
      33.000000      1437.600000
      34.000000      1448.740000
      35.000000      1460.690000
      36.000000      1463.120000
      37.000000      1448.270000
      38.000000      1414.820000
      39.000000      1371.200000
      40.000000      1339.340000
      41.000000      1334.720000
      42.000000      1339.690000
      43.000000      1312.340000
      44.000000      1251.170000
      45.000000      1264.300000
      46.000000      1345.580000
      47.000000      1391.730000
      48.000000      1396.420000
      49.000000      1381.530000
      50.000000      1368.640000
