# time(fs)    T(K)
       1.000000       317.430000
       2.000000       457.120000
       3.000000       709.390000
       4.000000       857.260000
       5.000000       881.570000
       6.000000       827.010000
       7.000000       732.420000
       8.000000       628.780000
       9.000000       538.810000
      10.000000       472.530000
      11.000000       417.200000
      12.000000       343.690000
      13.000000       260.110000
      14.000000       235.830000
      15.000000       203.280000
      16.000000       174.820000
      17.000000       162.900000
      18.000000       161.830000
      19.000000       162.980000
      20.000000       159.270000
      21.000000       150.900000
      22.000000       148.400000
      23.000000       144.860000
      24.000000       136.240000
      25.000000       129.700000
      26.000000       127.900000
      27.000000       129.130000
      28.000000       130.290000
      29.000000       128.560000
      30.000000       126.650000
      31.000000       130.880000
      32.000000       136.440000
      33.000000       139.880000
      34.000000       144.180000
      35.000000       151.570000
      36.000000       162.360000
      37.000000       174.000000
      38.000000       183.760000
      39.000000       195.750000
      40.000000       211.340000
      41.000000       226.040000
      42.000000       241.130000
      43.000000       259.420000
      44.000000       280.990000
      45.000000       303.330000
      46.000000       322.750000
      47.000000       341.810000
      48.000000       363.650000
      49.000000       381.370000
      50.000000       392.830000
