# time(fs)    E_pot_TOTEN(eV)
       1.000000        -1086.75012445
       2.000000        -1092.47213488
       3.000000        -1097.40909469
       4.000000        -1100.55106172
       5.000000        -1102.72673032
       6.000000        -1104.55451363
       7.000000        -1106.29902321
       8.000000        -1107.75218744
       9.000000        -1108.57503106
      10.000000        -1109.62761609
      11.000000        -1110.95253897
      12.000000        -1111.78674493
      13.000000        -1112.49007890
      14.000000        -1113.28769485
      15.000000        -1114.17719652
      16.000000        -1114.95556886
      17.000000        -1115.40737183
      18.000000        -1115.79318311
      19.000000        -1116.60107616
      20.000000        -1117.08098856
      21.000000        -1117.52611966
      22.000000        -1118.06326319
      23.000000        -1118.72363846
      24.000000        -1119.35099499
      25.000000        -1119.80864805
      26.000000        -1120.08490696
      27.000000        -1120.59738138
      28.000000        -1120.96722726
      29.000000        -1121.19737701
      30.000000        -1121.48108406
      31.000000        -1121.87767692
      32.000000        -1122.32699687
      33.000000        -1122.70054080
      34.000000        -1122.87364040
      35.000000        -1123.18455255
      36.000000        -1123.54813764
      37.000000        -1123.70447234
      38.000000        -1123.81204613
      39.000000        -1123.97572740
      40.000000        -1124.21760928
      41.000000        -1124.46060547
      42.000000        -1124.54989847
      43.000000        -1124.68877669
      44.000000        -1124.98645470
      45.000000        -1125.13815227
      46.000000        -1125.24108098
      47.000000        -1125.37913507
      48.000000        -1125.57557991
      49.000000        -1125.74588901
      50.000000        -1125.74553778
