# time(fs)    E_pot_TOTEN(eV)
       1.000000        -1086.75012445
       2.000000        -1092.79944685
       3.000000        -1098.05374656
       4.000000        -1101.03404946
       5.000000        -1102.94705332
       6.000000        -1104.25315188
       7.000000        -1105.13676679
       8.000000        -1105.94217197
       9.000000        -1106.84889419
      10.000000        -1107.22355580
      11.000000        -1105.78488902
      12.000000        -1106.32497752
      13.000000        -1106.96932519
      14.000000        -1107.09232544
      15.000000        -1107.00130361
      16.000000        -1106.94213152
      17.000000        -1106.90720110
      18.000000        -1106.95891260
      19.000000        -1107.16718406
      20.000000        -1107.52955616
      21.000000        -1107.92889944
      22.000000        -1108.18063452
      23.000000        -1108.12606000
      24.000000        -1107.79619766
      25.000000        -1107.51339150
      26.000000        -1107.45193348
      27.000000        -1107.43124143
      28.000000        -1107.41513877
      29.000000        -1107.53297102
      30.000000        -1107.80776567
      31.000000        -1108.19274659
      32.000000        -1108.63540904
      33.000000        -1109.03937791
      34.000000        -1109.24416472
      35.000000        -1109.26334785
      36.000000        -1109.44029300
      37.000000        -1110.03297085
      38.000000        -1110.99409061
      39.000000        -1111.78208452
      40.000000        -1107.17678477
      41.000000        -1109.68641453
      42.000000        -1107.03045616
      43.000000        -1105.64115823
      44.000000        -1105.16101530
      45.000000        -1105.04159584
      46.000000        -1105.07967219
      47.000000        -1105.31427127
      48.000000        -1105.64659074
      49.000000        -1105.91642273
      50.000000        -1106.00839704
