# time(fs)    T(K)
       1.000000        50.000000
       2.000000        49.950000
       3.000000        49.810000
       4.000000        49.580000
       5.000000        49.270000
       6.000000        48.880000
       7.000000        48.430000
       8.000000        47.920000
       9.000000        47.380000
      10.000000        46.820000
      11.000000        46.240000
      12.000000        45.660000
      13.000000        45.100000
      14.000000        44.570000
      15.000000        44.080000
      16.000000        43.630000
      17.000000        43.250000
      18.000000        42.930000
      19.000000        42.690000
      20.000000        42.520000
      21.000000        42.450000
      22.000000        42.460000
      23.000000        42.560000
      24.000000        42.760000
      25.000000        43.050000
      26.000000        43.430000
      27.000000        43.910000
      28.000000        44.480000
      29.000000        45.130000
      30.000000        45.860000
      31.000000        46.660000
      32.000000        47.510000
      33.000000        48.410000
      34.000000        49.330000
      35.000000        50.270000
      36.000000        51.190000
      37.000000        52.070000
      38.000000        52.900000
      39.000000        53.640000
      40.000000        54.280000
      41.000000        54.790000
      42.000000        55.170000
      43.000000        55.390000
      44.000000        55.450000
      45.000000        55.360000
      46.000000        55.110000
      47.000000        54.720000
      48.000000        54.200000
      49.000000        53.580000
      50.000000        52.890000
