# time(fs)    E_pot_TOTEN(eV)
       1.000000        -1008.00263072
       2.000000        -1014.11721704
       3.000000        -1015.46700803
       4.000000        -1018.56947323
       5.000000        -1020.73043213
       6.000000        -1022.60894027
       7.000000        -1024.40339245
       8.000000        -1026.17941488
       9.000000        -1027.19611239
      10.000000        -1027.96473299
      11.000000        -1029.56909268
      12.000000        -1030.41794987
      13.000000        -1031.08554769
      14.000000        -1031.85411013
      15.000000        -1032.75883526
