#job-id	C11	C12	C13	C22	C23	C33	C44	C55	C66 (GPa)
id-CuNi3_mp-1184054_primitive      250.309700   173.068440   162.316530   250.309700  162.316530   263.750180   123.350060  118.146610  118.146600
id-Li3Ni_mp-1185204_primitive      38.980280    25.817570    26.564770    38.980280   26.564770    25.545270    20.005280   26.545830   26.545820
id-mp-1101992-Ta2Ni                276.986820   351.478630   223.501480   276.986820  223.501480   475.169660   -37.245900  56.320570   56.320580
id-mp-1184069-CuNi                 305.131180   143.449510   102.678460   305.131180  102.678460   325.124870   80.840840   51.220400   51.220400
id-mp-1185214-Li3Ni                42.472960    28.353610    16.554960    42.472960   16.554960    74.495380    7.059670    13.182880   13.182880
id-mp-1185266-LiNi3                187.741650   124.965910   120.396470   187.741650  120.396470   192.930110   99.015510   98.894050   98.894060
id-mp-1185312-LiCu3                105.322130   88.246070    88.246070    105.322130  88.246070    105.322130   69.392450   69.392450   69.392450
id-mp-1185338-LiCu3                121.314750   85.355740    56.958180    121.314750  56.958180    164.122280   17.979500   21.211190   21.211190
id-mp-1187227-Ta3Cu                543.738510   192.989450   333.954160   543.738510  333.954160   404.957990   43.458120   182.239650  182.239650
id-mp-1191664-Ta5Ni                427.343640   340.572140   340.572140   427.343640  340.572140   427.343640   105.439950  105.439950  105.439950
id-mp-1225687-CuNi                 316.354440   123.105710   104.277920   316.354440  104.277920   328.431890   96.624370   62.790120   62.790120
id-mp-1225694-CuNi3                182.308900   149.522080   147.357290   290.468920  27.433790    284.544450   113.625290  -18.960980  103.345890
id-mp-1225695-CuNi                 232.338070   155.951090   158.427810   330.402860  37.135260    334.718960   123.557200  -22.208120  115.780990
id-mp-1225698-Cu3Ni                263.723600   162.349470   162.738540   359.448610  33.497360    347.041600   125.476640  -15.798990  119.056350
id-mp-1867-Ta2Ni                   474.057610   407.678030   201.973410   474.057610  201.973410   235.103610   107.737510  30.239520   30.239540
id-mp-569776-TaNi3                 -102.994290  -180.030650  -157.454590  -74.930330  -192.234330  -117.480780  25.610470   5.481260    29.005610
id-mp-570491-TaNi3                 99.449470    81.466520    39.138940    99.449470   39.138940    115.567240   53.924670   34.591070   34.591080
id-mp-862658-LiCu3                 103.608720   74.349510    86.611770    103.608720  86.611770    97.495220    58.667350   55.814710   55.814720
id-mp-974058-LiCu3                 84.486750    105.620630   105.620630   84.486750   105.620630   84.486750    72.199000   72.199000   72.199000
id-mp-975882-Li3Cu                 32.395490    10.932720    21.645250    32.395490   21.645250    32.007000    14.090100   24.755720   24.755720
id-Ta4Cu3Ni9_mp-1218103_primitive  357.782210   116.903530   141.223100   369.517080  150.805070   350.110280   63.666540   77.562560   50.221320
id-TaNi3_mp-891_primitive          392.263090   135.157670   168.350210   402.534150  162.786000   374.831310   60.325290   91.139280   77.001350
