# time(fs)    E_pot_TOTEN(eV)
       1.000000        -1086.74837088
       2.000000        -1092.44060987
       3.000000        -1097.83025049
       4.000000        -1100.82589588
       5.000000        -1102.46385758
       6.000000        -1103.57525032
       7.000000        -1104.31323206
       8.000000        -1104.76370930
       9.000000        -1105.12355731
      10.000000        -1105.52862782
      11.000000        -1105.81888326
      12.000000        -1105.69381938
      13.000000        -1105.09621160
      14.000000        -1104.33018644
      15.000000        -1103.94857037
      16.000000        -1104.12498433
      17.000000        -1104.64295475
      18.000000        -1105.28702398
      19.000000        -1106.15525114
      20.000000        -1107.26802415
      21.000000        -1108.26467198
      22.000000        -1109.04974341
      23.000000        -1109.64308497
      24.000000        -1109.98466367
      25.000000        -1110.02466632
      26.000000        -1109.78029962
      27.000000        -1109.48513333
      28.000000        -1109.38619860
      29.000000        -1109.34804732
      30.000000        -1109.17788834
      31.000000        -1109.04813276
      32.000000        -1109.07743368
      33.000000        -1109.20195725
      34.000000        -1109.42972588
      35.000000        -1109.69951619
      36.000000        -1109.76462725
      37.000000        -1109.47102079
      38.000000        -1108.79503690
      39.000000        -1107.87581714
      40.000000        -1107.19949689
      41.000000        -1107.14838012
      42.000000        -1107.32378018
      43.000000        -1106.82663046
      44.000000        -1105.41062190
      45.000000        -1105.70449057
      46.000000        -1107.51137546
      47.000000        -1108.41318607
      48.000000        -1108.46791354
      49.000000        -1108.16287441
      50.000000        -1107.88353643
