# time(fs)    T(K)
       1.000000       343.260000
       2.000000       608.690000
       3.000000       853.090000
       4.000000       941.390000
       5.000000       907.750000
       6.000000       810.240000
       7.000000       689.640000
       8.000000       577.920000
       9.000000       493.420000
      10.000000       432.920000
      11.000000       367.170000
      12.000000       282.100000
      13.000000       258.010000
      14.000000       231.460000
      15.000000       195.850000
      16.000000       173.150000
      17.000000       164.590000
      18.000000       161.690000
      19.000000       154.720000
      20.000000       140.210000
      21.000000       132.920000
      22.000000       134.840000
      23.000000       132.660000
      24.000000       130.310000
      25.000000       131.130000
      26.000000       134.580000
      27.000000       137.790000
      28.000000       136.340000
      29.000000       132.710000
      30.000000       134.220000
      31.000000       135.830000
      32.000000       135.870000
      33.000000       138.890000
      34.000000       146.600000
      35.000000       157.490000
      36.000000       167.670000
      37.000000       176.700000
      38.000000       190.100000
      39.000000       205.010000
      40.000000       217.270000
      41.000000       230.150000
      42.000000       246.750000
      43.000000       266.910000
      44.000000       286.760000
      45.000000       304.590000
      46.000000       326.440000
      47.000000       349.810000
      48.000000       367.880000
      49.000000       382.110000
      50.000000       394.730000
