# time(fs)    E_pot_TOTEN(eV)
       1.000000        -1086.75012445
       2.000000        -1092.66812244
       3.000000        -1098.20046410
       4.000000        -1101.27039575
       5.000000        -1102.93030188
       6.000000        -1104.00355701
       7.000000        -1104.85036098
       8.000000        -1105.78004208
       9.000000        -1107.03463749
      10.000000        -1108.59218141
      11.000000        -1109.76423084
      12.000000        -1109.85452674
      13.000000        -1111.29122724
      14.000000        -1112.20776459
      15.000000        -1112.78501047
      16.000000        -1113.40180514
      17.000000        -1114.18482325
      18.000000        -1115.01204140
      19.000000        -1115.71526823
      20.000000        -1116.13085852
      21.000000        -1116.61028564
      22.000000        -1117.26385224
      23.000000        -1117.75808304
      24.000000        -1118.21349409
      25.000000        -1118.69424528
      26.000000        -1119.20060643
      27.000000        -1119.68106495
      28.000000        -1120.02662157
      29.000000        -1120.25712008
      30.000000        -1120.58897201
      31.000000        -1120.87757742
      32.000000        -1121.09080189
      33.000000        -1121.33605186
      34.000000        -1121.64674458
      35.000000        -1121.99764963
      36.000000        -1122.30265519
      37.000000        -1122.53525261
      38.000000        -1122.84298516
      39.000000        -1123.14723239
      40.000000        -1123.35763955
      41.000000        -1123.54512415
      42.000000        -1123.77930525
      43.000000        -1124.05640238
      44.000000        -1124.30387207
      45.000000        -1124.47825202
      46.000000        -1124.74148370
      47.000000        -1125.04120698
      48.000000        -1125.23656563
      49.000000        -1125.39401422
      50.000000        -1125.57375170
