# time(fs)    E_pot_TOTEN(eV)
       1.000000        -1086.75012445
       2.000000        -1090.27984978
       3.000000        -1095.80561026
       4.000000        -1099.63973185
       5.000000        -1101.81181407
       6.000000        -1103.22893328
       7.000000        -1104.31293347
       8.000000        -1105.32255823
       9.000000        -1106.49178236
      10.000000        -1107.96547479
      11.000000        -1109.54509350
      12.000000        -1110.45900914
      13.000000        -1110.36474029
      14.000000        -1111.62401456
      15.000000        -1112.21027096
      16.000000        -1112.75340459
      17.000000        -1113.46443936
      18.000000        -1114.33151112
      19.000000        -1115.19282019
      20.000000        -1115.93570803
      21.000000        -1116.47215892
      22.000000        -1117.11052309
      23.000000        -1117.66779951
      24.000000        -1118.03918177
      25.000000        -1118.39628037
      26.000000        -1118.80505811
      27.000000        -1119.23090381
      28.000000        -1119.62972434
      29.000000        -1119.92822634
      30.000000        -1120.16698436
      31.000000        -1120.51951488
      32.000000        -1120.86648639
      33.000000        -1121.13084329
      34.000000        -1121.38368549
      35.000000        -1121.66848266
      36.000000        -1121.99327150
      37.000000        -1122.30857564
      38.000000        -1122.54198888
      39.000000        -1122.78968936
      40.000000        -1123.08844085
      41.000000        -1123.32239478
      42.000000        -1123.53252883
      43.000000        -1123.77908505
      44.000000        -1124.06501522
      45.000000        -1124.35736385
      46.000000        -1124.56390868
      47.000000        -1124.76831913
      48.000000        -1125.05778334
      49.000000        -1125.27980947
      50.000000        -1125.42743227
