# time(fs)    T(K)
       1.000000       300.000000
       2.000000       596.110000
       3.000000       864.490000
       4.000000      1022.140000
       5.000000      1107.160000
       6.000000      1156.150000
       7.000000      1180.820000
       8.000000      1192.900000
       9.000000      1203.170000
      10.000000      1208.570000
      11.000000       300.000000
      12.000000       328.350000
      13.000000       377.960000
      14.000000       425.770000
      15.000000       465.440000
      16.000000       502.280000
      17.000000       539.360000
      18.000000       575.720000
      19.000000       612.750000
      20.000000       657.010000
      21.000000       300.000000
      22.000000       364.200000
      23.000000       395.130000
      24.000000       410.290000
      25.000000       497.320000
      26.000000       517.040000
      27.000000       524.480000
      28.000000       536.550000
      29.000000       547.640000
      30.000000       564.130000
      31.000000       300.000000
      32.000000       315.190000
      33.000000       327.690000
      34.000000       382.250000
      35.000000       394.650000
      36.000000       389.080000
      37.000000       394.250000
      38.000000       412.130000
      39.000000       432.200000
      40.000000       429.330000
      41.000000       300.000000
      42.000000       332.750000
      43.000000       337.140000
      44.000000       329.360000
      45.000000       346.550000
      46.000000       390.010000
      47.000000       433.780000
      48.000000       443.370000
      49.000000       418.460000
      50.000000       445.490000
