# time(fs)    E_pot_TOTEN(eV)
       1.000000        -1086.74837088
       2.000000        -1092.98656199
       3.000000        -1098.44374648
       4.000000        -1101.49932880
       5.000000        -1103.15201975
       6.000000        -1104.12373687
       7.000000        -1104.60891396
       8.000000        -1104.84143918
       9.000000        -1105.05747488
      10.000000        -1105.20050507
      11.000000        -1105.04209323
      12.000000        -1105.62320964
      13.000000        -1106.66322972
      14.000000        -1107.62578407
      15.000000        -1108.41256445
      16.000000        -1109.16739852
      17.000000        -1109.91782348
      18.000000        -1110.65004765
      19.000000        -1111.39001320
      20.000000        -1112.27232192
      21.000000        -1113.47268045
      22.000000        -1114.67103416
      23.000000        -1115.45071474
      24.000000        -1115.27032400
      25.000000        -1117.29507603
      26.000000        -1117.62293872
      27.000000        -1117.76255881
      28.000000        -1118.02899498
      29.000000        -1118.24786333
      30.000000        -1118.56478900
      31.000000        -1119.13481577
      32.000000        -1119.48037301
      33.000000        -1119.50650913
      34.000000        -1120.81840925
      35.000000        -1120.98506092
      36.000000        -1120.82730762
      37.000000        -1120.93390329
      38.000000        -1121.30174052
      39.000000        -1121.74107994
      40.000000        -1121.76818764
      41.000000        -1120.93352593
      42.000000        -1121.84727157
      43.000000        -1121.86112329
      44.000000        -1121.64194109
      45.000000        -1121.99044840
      46.000000        -1122.90116357
      47.000000        -1123.82561515
      48.000000        -1124.10675479
      49.000000        -1123.31711256
      50.000000        -1124.13617748
