# time(fs)    T(K)
       1.000000       354.430000
       2.000000       632.110000
       3.000000       890.240000
       4.000000      1045.540000
       5.000000      1142.290000
       6.000000      1207.790000
       7.000000      1252.500000
       8.000000      1292.750000
       9.000000      1335.470000
      10.000000      1350.760000
      11.000000      1297.380000
      12.000000      1306.820000
      13.000000      1337.690000
      14.000000      1345.780000
      15.000000      1342.340000
      16.000000      1339.470000
      17.000000      1337.950000
      18.000000      1340.370000
      19.000000      1350.680000
      20.000000      1368.500000
      21.000000      1387.980000
      22.000000      1400.020000
      23.000000      1397.210000
      24.000000      1381.960000
      25.000000      1368.540000
      26.000000      1364.570000
      27.000000      1363.500000
      28.000000      1363.200000
      29.000000      1368.880000
      30.000000      1382.330000
      31.000000      1401.130000
      32.000000      1422.440000
      33.000000      1441.260000
      34.000000      1450.710000
      35.000000      1451.970000
      36.000000      1460.490000
      37.000000      1489.050000
      38.000000      1536.040000
      39.000000      1557.860000
      40.000000      1467.510000
      41.000000      1660.350000
      42.000000      1537.940000
      43.000000      1467.320000
      44.000000      1442.090000
      45.000000      1435.060000
      46.000000      1435.990000
      47.000000      1446.970000
      48.000000      1462.940000
      49.000000      1475.670000
      50.000000      1481.040000
